ONFL Organiza&#355;ia Na&#355;ional&#259; a Femeilor Liberali (PNL) : Liberális N&#337;k (Országos) Szervezete (Nemzeti Liberális Párt) : 0 : 
marj&#259; de eroare : hibahatár (pl_felmérésben) : 0 : 
Asocia&#355;iei Constructorilor de Acoperi&#351;uri Verzi (ACAVR) : Zöld Tet&#337;t épít&#337;k Szövetsége : 0 : 
Consiliul General al Municipiului Bucure&#351;ti (CGMB) : Bukarest Municípium Tanácsa : 0 : 
Coasta de Filde&#351;  (Africa, Republica Côte d'Ivoire) : Elefántcsontpart : 0 : 


? : Sindicatul Na&#355;ional al Lucr&#259;torilor de Penitenciare (SNLP) : A Börtönben Dolgozók Országos Szakszervezete : 0 : 
? : Federa&#355;ia Sindicatelor din Administra&#355;ia Na&#355;ional&#259; a Penitenciarelor (FSANP) : a Börtönök Országos Adminisztrációjának Szakszervezeti Szövetsége : 0 : 
Direc&#355;ia General&#259; de Informa&#355;ii &#351;i Protec&#355;ie Intern&#259; DGIPI : Bels&#337; Elhárítási Vezérigazgatóság / Belügyminisztériumi Hírszerzés : 0 : 
Direc&#355;ia de S&#259;n&#259;tate Public&#259; (DSP) : Közegészségügyi Igazgatóság : 0 : 
porumb verde (pentru) siloz : zöld kukorica / silókukorica (forrás: EURLEX) : 0 : 

&#350;i&#351;tarov&#259;&#355; (Arad) : Sistaróc (Arad megye, k0zs3g) : 0 :  (hn+ar)
zilier, ziler : napszámos : 0 : 
Centrul Independent pentru Dezvoltarea Resurselor de Mediu CIDRM : a Környezeti Er&#337;források Független Központja : 0 : 
Consiliului Suprem de Ap&#259;rare a &#354;&#259;rii CSAT : Legfels&#337;bb Védelmi Tanács (Ro) : 0 : 
ocol silvic : erd&#337;kerület (forrás: transindex) : 0 : 
centru de permanen&#355;&#259; : (állandó) (orvosi) ügyeleti központ : 0 : 
Spitalul de Recuperare : Rehabilitációs Kórház (ezt így fordítjuk) : 0 : 
Z&#259;rne&#351;ti, jud. Bra&#351;ov : Zernest, Zernyest, Brassó megye (nem vót benne) : 0 :  (hn+ar)
Curtea de Justi&#355;ie a Uniunii Europene : Európai Bíróság / European Court of Justice : 0 : 
Vatra Dornei : Dornavátra &Iacute;gy hívják) : 0 :  (hn+ar)

Ampoi, Ompoi : Ompoly  (folyó/patak, Fehér megye) (névváltozat) : 0 : 
IRES       S.C. INSTITUTUL ROMÂN PENTRU EVALUARE &#350;I STRATEGIE (I.R.E.S.) S.R.L : Romániai Felmérési és Stratégiai Intézet : 0 : 
talon auto : forgalmi engedély : 0 : 
Muzeului Na&#355;ional de Istorie a Transilvaniei (MNIT) : Erdélyi Nemzeti Történelmi Múzeum : 0 : 

FNPAR Federa&#355;ia Na&#355;ional&#259; a Produc&#259;torilor Agrare Române : Romániai Mez&#337;gazdasági Termel&#337;k Szövetsége (a román ex burtis) : 0 : 
FNUASS - Fond Na&#355;ional Unic de Asigur&#259;ri de S&#259;n&#259;tate : Országos Egységes Egészségügyi Alap : 0 : 
ARPIM Asocia&#355;ia Român&#259; a Produc&#259;torilor Interna&#355;ionali de Medicamente : a Nemzetközi Gyógyszergyártók Romániai Szövetsége : 0 : 
summit : csúcstalálkozó : 0 : 




centru de plasament : gyerekotthon (jobbhíján híjjuksza ígyö) : 0 : 

ferm&#259; agricol&#259; de semisubzisten&#355;&#259; : félig önellátó gazdaság (a magyar vidékfejlesztési honlapon van) : 0 : 
RADP Regia Autonom&#259; a Domeniului Public : közterület-fenntartó vállalat (szabadsag.ro) : 0 : 
ACPR Asocia&#355;ia Confedera&#355;iilor Patronale din România : Romániai Munkáltatói Szervezetek Szövetsége (ACPR) : 0 : 
parchetul de pe langa tribunal : a törvényszékhez tartozó ügyészség (román közigazgatási szótár) : 0 : 
(CISPER) Centrul de incluziune pentru persoanele de etnie rom&#259; : Romák Társadalmi Integrációs Központja (CISPER) (krónika) : 0 : 
V&#259;leni / C&#259;line&#351;ti (jud. Maramure&#351;) : Mikolapatak (Máramaros megye) : 0 :  (hn+ar)
OJSPA Oficiului Jude&#355;ean de Studii Pedologice &#351;i Agrochimice : Megyei Pedológiai és Agrokémiai Intézet (OJSPA) : 0 : 
codul de procedur&#259; fiscal&#259; : adóbehajtási jogsegély (eurlex) : 0 : 
dobânda de politic&#259; monetar&#259; : irányadó kamatláb (jobb híján alapkamat) (cseke robi, közgáz) : 0 : 
CNSC Consiliul Na&#355;ional de Solu&#355;ionare a Contesta&#355;iilor : óvások Elbírálásának Országos Tanácsa CNSC : 0 : 
Direc&#355;ia General&#259; de Asisten&#355;&#259; Social&#259; &#351;i Protec&#355;ia Copilului (DGASPM) : Szociális és Gyermekvédelmi F&#337;igazgatóság DGASPM : 0 : 

Comisia Na&#355;ional&#259; a Valorilor Mobiliare CNVM : Országos T&#337;kepiac-felügyeleti Bizottság (nyelvijogok.ro) : 0 : 
Consiliul Na&#355;ional Fiscal : Nemzeti Költségvetési Tanács (eurlex) : 0 : 
Direc&#355;ia pentru Agricultur&#259; &#351;i Dezvoltare Rural&#259; (DADR) : Mez&#337;gazdasági és Vidékfejlesztési Igazgatóság (DADR) : 0 : 
Piatra singuratic&#259; (munte, jud. Harghita) : Egyesk&#337; (hegy, Hargita megye) : 0 :  (hn+ar)
Asocia&#355;ia Companiilor de Utilit&#259;&#355;i &#238;n Energie (ACUE) : Energiaipari Szolgáltatók Szövetsége (ACUE) (házi fordítási javaslat) : 0 : 
0 : 
Asocia&#355;ia Jude&#355;ean&#259; de Fotbal : Megyei Labdarúgó Egyesület (pesek attila, szatmár) : 0 : 
SEAP Sistemul electronic de achizi&#355;ii publice : Elektronikus Közbeszerzési Rendszer (a seap.ro csak rámászott a rövidítésre?) : 0 : 


Chechi&#351;el pârâu jud. Maramure&#351; : Kékes patak Máramaros megyében : 0 :  (hn+ar)
prim&#259; de vacan&#355;&#259; : szabadságpénz (forrás: Újvári) : 0 : 
oraj (fenomen atmosferic complex, care const&#259; din desc&#259;rc&#259;ri electrice repetate între nori sau între nori &#351;i p&#259;mânt (fulger), înso&#355;it de tunete. Orajul este caracteristic norilor Cumulonimbu&#351;i &#351;i deci unei stratific&#259;ri instabile a aerului cu un con&#355;inut bogat de vapori de ap&#259;. Orajele pot fi sau nu înso&#355;ite de precipita&#355;ii.) : s&#369;r&#369; villámlás (meteorológiai terminus románéknál) : 0 : 
infec&#355;ie nosocomial&#259; : kórházai fert&#337;zés -- kórházban vagy az egészségügyi ellátás során szerzett fert&#337;zés : 0 : 
Parcul rustic 'La Butuci' (Cluj-Napoca, lâng&#259; podul Garibaldi) : Tuskó rusztikus játszótér (Kolozsvár, a Garibaldi híd közelében) (fordítási javaslat) : 0 :  (hn+ar)

Academia de Ordine &#351;i Siguran&#355;&#259; Public&#259; (institu&#355;ie care ar urma s&#259; se &#238;nfiin&#355;eze) : Közrendi és Közbiztonsági Akadémia (fordítási javaslat az átnevezend&#337; rend&#337;rakadémiára) (át akarják nevezni a bukaresti Cuza rend&#337;rakadémiát) : 0 : 
gramul de aur (XAU) : az arany unciája (XAU) (1 troy uncia = 31.1034768 gram) : 0 : 
Universitatea de Medicin&#259; &#351;i Farmacie "Iuliu Ha&#355;ieganu" : Iuliu Ha&#355;ieganu Orvostudományi és Gyógyszerészeti Egyetem : 0 : 
roviniet&#259; (rovigneta / rovigniette / vignette) : útmatrica (ro el&#337;taggal a romániai) ((google, www.roviniete.ro)) : 0 : 
SIS Sistemul Informatic Schengen / Systeme d' Information Schengen / Schengen Information System : Schengeni Információs Rendszer (SIS) (gov.hu) : 0 : 
Biroul SIRENE : SIRENE Iroda: Ellátja a schengeni tagsággal összefügg&#337;, valamint a Schengeni Információs Rendszer m&#369;ködtetésének vonatkozásában meghatározott feladatokat. Pl: biztosítja a schengeni tagállamok közötti zavartalan információcserét, felel a nemzeti szervezetek (els&#337;sorban a Rend&#337;rség, Vám- és Pénzügy&#337;rség, Bevándorlási és állampolgársági Hivatal, igazságügyi szervek) számára történ&#337; kiegészít&#337; információ-szolgáltatásért (http://www.police.hu/content/organization?contentid=1996686) : 0 : 
RA-APPS Regia Autonom&#259; - Administra&#355;ia Patrimoniului Protocolului de Stat : Állami vagyonigazgatóság (közig.szótár) : 0 : 
AMPMFR Asocia&#355;ia Maghiar&#259; pentru Preg&#259;tirea Medical&#259; &#351;i Farmaceutic&#259; din România : RMOGYKE Romániai Magyar Orvos és Gyógyszerész Képzésért Egyesület (RMOGYKE) (rmogyke.ro) : 0 : 

FEAG  Fondul European de Ajustare Global&#259; : Európai Globalizációs Alkalmazkodási Alap : 0 : 
BERD Banca European&#259; pentru Reconstruc&#355;ie &#351;i Dezvoltare : Európai újjáépítési és Fejlesztési Bank (rmdsz.ro) : 0 : 
Serviciul de Telecomunica&#355;ii Speciale  STS : Különleges Távközlési Szolgálat : 0 : 
CRPCIS Centrul Român pentru Promovarea Comer&#355;ului &#351;i Investi&#355;iilor Str&#259;ine : Külkereskedelemet és Külföldi Befektetéseket Támogató Központ : 0 : 



Pasul Tihu&#355;a : Borgói-hágó : 0 :  (hn+ar)
Asocia&#355;ia &#350;tiin&#355;ific&#259; Pro Scientia Administrativa : Pro Scientia Administrativa Tudományos Társaság : 0 : 

iluminare public&#259; : közvilágítás : 0 : 
&#350;inca Nou&#259; (jud. Bra&#351;ov) : &Uacute;jsinka (község Brassó megyében) : 0 :  (hn+ar)

gabarit dep&#259;&#351;it : túlméretes (járm&#369;) (http://www.untrr.ro/userfiles1/ordonanta-guvernamentala57-2007.pdf) : 0 : 
Uniunea Na&#355;ional&#259; a Patronatelor din România : (Romániai) Munkáltatók Országos Szövetsége : 0 : 
European Seismological Commission / Comisia European&#259; de Seismologie : Európai Szeizmológiai Bizottság (http://www.esc-web.org) : 0 : 

(European System of Financial Supervisors, ESFS) : Európai Pénzügyi Felügyeleti Rendszer : 0 : 
ORNISS Oficiul Registrului Na&#355;ional al Informa&#355;iilor Secrete de Stat : Országos Államtitok-nyilvántartó Hivatal (ORNISS) : 0 : 
trichineloz&#259; / trihineloz&#259; : trichinózis. A trichinák okozta betegség. Brehm alapján: http://mek.niif.hu/03400/03408/html/2983.html : 0 : 
Nu&#351;eni (jud. Bistri&#355;a-N&#259;s&#259;ud) : Apanagyfalu -ban (Beszterce-Naszód megye) (ragozás) : 0 :  (hn+ar)
Mecanismul de cooperare &#351;i verificare (MCV) : Együttm&#369;ködési és ellen&#337;rzési mechanizmus (Unió) : 0 : 

Accident vascular cerebral : agyvérzés (ejsze...) : 0 : 
tax&#259; judiciar&#259; : bírósági illeték (Újvári) : 0 : 
tax&#259; extrajudiciar&#259; : bíróságon kívüli illeték (Újvári) : 0 : 
Conven&#355;ia European&#259; a Drepturilor Omului : Az európai emberi jogokról szóló egyezmény (forrás: hungarian-human-rights.eu) : 0 : 
CEDO Curtea European&#259; a Drepturilor Omului : Emberi Jogok Európai Birósága CEDO (a rador alapján) : 0 : 
Grupul de Lucru al Organiza&#355;iilor Civice (GLOC) : Civil Szervezetek Munkacsoportja (GLOC) : 0 : 

salmonel&#259; : szalmonella (a Salmonella enterica baktérium okozta bélrendszeri fert&#337;zés köznépi neve) : 0 : 
arderea miri&#351;tilor : tarlóégetés : 0 : 




acquis communautaire (francia) -- a közösségi jog alapfogalma : közösségi vívmányok (ez a bevett fordítás) : 0 : 
anin negru (fafajta) (Alnus glutinosa) : enyves éger - Alnus glutinosa : 0 : 
CNAS Casa Na&#355;ional&#259; de Asigur&#259;ri de S&#259;n&#259;tate : Országos Egészségbiztosítási Pénztár : 0 : 

CNATDCU Consiliul Na&#355;ional de Atestare a Titlurilor, Diplomelor &#351;i Certificatelor Universitare : Egyetemi Címeket, Okleveleket és Bizonyítványokat Elismer&#337; Országos Tanács (CNATDCU) (hhrf)<br> <br> vagy:<br> Egyetemi Címeket, Okleveleket és Bizonyítványokat Hitelesít&#337; Országos Tanács (CNATDCU) : 0 : 

Asocia&#355;ia Marilor Re&#355;ele Comerciale din România (AMRCR) : Romániai Nagyüzletláncok Szövetsége (AMRCR) : 0 : 


Institutului Na&#355;ional de Hidrologie &#351;i Gospod&#259;rire a Apelor (INHGA). : Országos Hidrológiai és Vízgazdálkodási Intézet (INHGA) : 0 : 




#rekord_separator#




uniunea nationala pentru progresul romaniei unpr : romania haladasaert orszagos szovetseg (unpr) : 0 : 

codul rutier : a kozuti kozlekedes torvenykonyve (eurlex) : 0 : 
varghis (covasna) : vargyas (kovaszna) : 0 :  (hn+ar)
sindicatul cadrelor militare disponibilizate in rezerva si in retragere scmd scmdrr : elbocsatott, a nyugdijas es a tartalekos katonak szakszervezete : 0 : 
institutul universitar maghiar din cluj-napoca : kmei kolozsvari magyar egyetemi intezet : 0 : 
institutul pentru studierea problemelor minoritatilor nationale : nemzeti kisebbsegkutato intezet : 0 : 
velenta (oradea, cartier) : velence, nagyvarad-velence, varad-velence (nagyvaradi lakonegyed) : 0 : 
regia autonoma de transport urban calatori ratuc : kolozsvari tomegkozlekedesi vallalat : 0 : 
otlra oradea transport local regia autonoma raotl : nagyvaradi tomegkozlekedesi vallalat : 0 : 
stei (petru groza), bihor : vaskohsziklas, bihar megye : 0 :  (hn+ar)
consiliul national al audiovizualului cna : orszagos audiovizualis tanacs (pannonoknal ortt?) : 0 : 
0 : 
marja (kozgaz) : kulonbozet, res (marja bruta: bruttojovedelem-res), ~de siguranta: biztonsagi rahagyas : 0 : 


punerea  pietrei de temelie : alapkoletetel : 0 : 



csm consiliul superior al magistraturii : legfelsobb igazsagugyi tanacs (forras: 3ck2t31n) : 0 : 
consiliului superior al magistraturii csm : legfelsobb biroi tanacs (eurlex szerint) : 0 : 
referential : mertekteremto, viszonyitasi alap teremto (s var7uk a 7ava5latoka+) : 0 : 
uniunea generala a industriasilor din romania, ugir-1903 ugir 1903 : romaniai nagyipari vallalkozok egyesulete (forditasi 7avaslat) : 0 : 
valcele, jud. cluj : banyabukk, kolozs megye (a korgyuru resze) : 0 :  (hn+ar)
valea mare de cris, bihor : felsopatak (bihar megye) : 0 :  (hn+ar)
parapanta : sikloernyo : 0 : 
centru de incluziune : inkluzios kozpont -- romaniaban eddig ilyen nem volt, neve sem volt, kb igy kell forditani. pl a ciganysaghoz van koze : 0 : 
anad agentia nationala anti-doping : orszagos doppingellenes ugynokseg : 0 : 
eurostat : az eurostat az europai bizottsag egyik foigazgatosaga. feladata a magas szinvonalu statisztikai adatszolgaltatas nyujtasa az europai unio szamara. : 0 : 
comisia europeana : europai bizottsag : 0 : 
ministerul agriculturii si dezvoltarii rurale madr : mezogazdasagi miniszterium : 0 : 
comisia de libertati civile, justitie si afaceri interne (libe) : az europai parlament (ep) polgari szabadsagjogokkal, valamint igazsagugyi es belugyi kerdesekkel foglalkozo bizottsaga (libe) : 0 : 
uniunea nationala a societatilor de asigurare si reasigurare din romania (unsar) : a biztositotarsasagok orszagos szovetsege  (forditasi javaslat) : 0 : 
oral history, istorie orala : oral history, elbeszelt tortenelem (jobb hijan magyarek az angol kifejezest hasznaljak. de meg kell meg kerdeznem egy torteneszt) : 0 : 
institutul national de sanatate publica insp : orszagos kozegeszsegugyi intezet : 0 : 
ordogusalau (harghita, in nuvelele lui nagypali :p ) : ordogosfalu (nagypali novellaiban :p) : 0 :  (hn+ar)
consiliul european (european council) : europai tanacs : 0 : 
compania nationala a huilei cnh : orszagos koszen vallalat : 0 : 
miscarea angajament civic cemo : civil elkotelezettseg mozgalom (marosvasarhely. lasd civic engagement movement, www.cemo.ro) : 0 : 
directia sanitar veterinara si pentru siguranta alimentelor dsvsa : allategeszsegugyi es elelmiszerbiztonsagi igazgatosag : 0 : 
pret reglementat (pr) &#8211; reprezinta pretul stabilit si/sau comunicat de autoritatea competenta; : szabalyozott ar -- reglementarea preturilor: arszabalyozas : 0 : 
ziua sigurantei pe internet, safer internet day : a biztonsagos internet napja (2011-ben februar 8-an) : 0 : 
biroul permanent (parlament) : allando bizottsag : 0 : 

autoritatea pentru coordonarea instrumentelor structurale : a strukturalis alapok felhasznalasat iranyito hatosag : 0 : 
dosar penal : bunugyi dosszie (transindex) : 0 : 
trafic de influenta : befolyassal (valo) uzerkedes : 0 : 
blocul national sindical (bns) : orszagos szakszervezeti tomb : 0 : 
agentia nationala pentru protectia mediului anpm : orszagos kornyezetvedelmi hatosag : 0 : 
somcuta mare (maramures : nagysomkut (maramaros megye) : 0 :  (hn+ar)
zona defavorizata v. zone defavorizate : hatranyos helyzetu terulet (frr5: eurl3x) : 0 : 
licenta de transport / certificat de transport : szallitoi engedely (sok guglizas utan: neten ugy tunik, ezek egyenertekuek) : 0 : 
societatea romana de radiodifuziune : roman radio tarsasag (3lso bblexe) : 0 : 
autoritatea nationala de tineret si sport : orszagos ifjusagi es sporthatosag : 0 : 
partidul national taranesc crestin democrat : kereszteny-demokrata nemzeti paraszt part : 0 : 
selimbar (jud. sibiu) : sellenberk (hu), schellenberg (szasz) (szeben megye) : 0 :  (hn+ar)
federatia sindicatelor libere din invatamant : szabad tanugyi szakszervezetek szovetsege : 0 : 
ziua internationala / ziua mondiala / international day (of) / world (pl. peace)  day : vilagnap - igy forditjuk, hacsak a hagyomanyossa valt elnevezesek nem diktaljak maskepp. az ensz, unesco stb. kijeloli a napokat. aztan forditsuk: &quot;nemzetkozi tancnap&quot; vagy &quot;a tanc vilagnapja&quot;,  angolul &quot;international day of peace, also known as the world peace day&quot;. javaslat: 1) rakeresunk, van-e magyar valtozat egy normativ helyen (vagyis pl. az akademia honlapjan, de a wiki sem rossz. viszont nem pistike blogjan).  2) ha nincs, akkor a magyaritas tartsa szem elott, hogy a magyar szintetikus, tomorsegre torekvo nyelv, szemben a romannal es foleg az angollal. lasd: &quot;penzugyminiszter&quot; es nem &quot;penzugyi miniszter&quot;. ezert, ha lehet: &quot;aids-ellenes vilagnap&quot; (ez a hivatalos neve ennek) es nem &quot;aids elleni nemzetkozi nap&quot;. es vegkepp nem &quot;nemzetkozi vilagnap&quot;. : 0 : 
sindicatul national al politistilor si personalului contractual  snppc : orszagos rendor-szakszervezet (egyelore s jobb hijan) : 0 : 
valea lui cati, in comuna ceanu mare, jud. cluj : sarospatakdulo, mezocsan kozsegben, kolozs megye : 0 :  (hn+ar)
sardu (jud. cluj) : magyarsard (kolozs megye) : 0 :  (hn+ar)
sardu (jud. cluj) : magyarsard (kolozs megye) : 0 :  (hn+ar)
saula (jud. cluj) : sarvasar (kolozs megye) : 0 :  (hn+ar)
sigau (jud. cluj) : sajgo (kolozs megye) : 0 :  (hn+ar)
somcutu mic (jud. cluj) : kissomkut (kolozs megye) : 0 :  (hn+ar)
sutu (jud. cluj) : sutmeg (kolozs megye) : 0 :  (hn+ar)
aghiresu-fabrici (jud. cluj) : egeres-gyartelep (kolozs megye) : 0 :  (hn+ar)
bont (jud. cluj) : boncnyires (kolozs megye) : 0 :  (hn+ar)
coblesu somesan (jud. cluj) : magyarkoblos (kolozs megye) : 0 :  (hn+ar)
copacel (jud. cluj) : koppand (kolozs megye) : 0 :  (hn+ar)
custura (jud. cluj) : dumbrava (kolozs megye) : 0 :  (hn+ar)
damburile (jud. cluj) : dombokfalva (kolozs megye) : 0 :  (hn+ar)
dosu napului (jud. cluj) : olahtohat (kolozs megye) : 0 :  (hn+ar)
fanate (jud. cluj) : csaniszenafu (kolozs megye) : 0 :  (hn+ar)
hodai-boian (jud. cluj) : mezoboifogado (kolozs megye) : 0 :  (hn+ar)
leurda (jud. cluj) : leurda hatarresz (kolozs megye) : 0 :  (hn+ar)
mortesti (jud. cluj) : morcest (kolozs megye) : 0 :  (hn+ar)
nires (jud. cluj) : nyires (kolozs megye) : 0 :  (hn+ar)
ocna-dejului (jud. cluj) : desakna (kolozs megye) : 0 :  (hn+ar)
padureni (jud. cluj) : fejerdi fogadok (kolozs megye) : 0 :  (hn+ar)
prelucele (jud. cluj) : prencsel dulo (kolozs megye) : 0 :  (hn+ar)
rasca (jud. cluj) : roska (kolozs megye) : 0 :  (hn+ar)
sanmartin (jud. cluj) : szepkenyeruszentmarton (kolozs megye) : 0 :  (hn+ar)
sanncraiu (jud. cluj) : kalotaszentkiraly (kolozs megye) : 0 :  (hn+ar)
santejude-vale (jud. cluj) : vasasszentegyedi volgy (kolozs megye) : 0 :  (hn+ar)
scalaia (jud. cluj) : kisszek (kolozs megye) : 0 :  (hn+ar)
silvas (jud. cluj) : vizszilvas (kolozs megye) : 0 :  (hn+ar)
strimbu (jud. cluj) : horgospataka (kolozs megye) : 0 :  (hn+ar)
struncut (jud. cluj) : sztinkutdulo (kolozs megye) : 0 :  (hn+ar)
telepules orman (jud. cluj) : ormany (kolozs megye) : 0 :  (hn+ar)
tritenii-hotar (jud. cluj) : irisorai tanyak (kolozs megye) : 0 :  (hn+ar)
turmasi (jud. cluj) : tormasdulo (kolozs megye) : 0 :  (hn+ar)
urisor (jud. cluj) : alor (kolozs megye) : 0 :  (hn+ar)
valeni (jud. cluj) : largatanya (kolozs megye) : 0 :  (hn+ar)
valeni (jud. cluj) : magyarvalko (kolozs megye) : 0 :  (hn+ar)
valisoara (jud. cluj) : jararakos (kolozs megye) : 0 :  (hn+ar)
valcelele (jud. cluj) : bujdos (kolozs megye) : 0 :  (hn+ar)
vanatori (jud. cluj) : borveny (kolozs megye) : 0 :  (hn+ar)
vad (jud. cluj) : revkolostor (kolozs megye) : 0 :  (hn+ar)
vaida-camaras (jud. cluj) : vajdakamaras (kolozs megye) : 0 :  (hn+ar)
vale (jud. cluj) : banffytotfalu (kolozs megye) : 0 :  (hn+ar)
valea agrisului (jud. cluj) : egrespatak (kolozs megye) : 0 :  (hn+ar)
valea casielului (jud. cluj) : kesiel (kolozs megye) : 0 :  (hn+ar)
valea calda (jud. cluj) : melegvolgyitanya (kolozs megye) : 0 :  (hn+ar)
valea ciresoii (jud. cluj) : decseipataktanya (kolozs megye) : 0 :  (hn+ar)
valea draganului (jud. cluj) : nagysebes (kolozs megye) : 0 :  (hn+ar)
valea floriilor (jud. cluj) : viragosvolgy (kolozs megye) : 0 :  (hn+ar)
valea garboului (jud. cluj) : gorbovolgye (kolozs megye) : 0 :  (hn+ar)
valea grosiilor (jud. cluj) : tokepataka (kolozs megye) : 0 :  (hn+ar)
valea ierii (jud. cluj) : jaravize (kolozs megye) : 0 :  (hn+ar)
valea lui cati (jud. cluj) : sarospatakdulo (kolozs megye) : 0 :  (hn+ar)
valea lui opris (jud. cluj) : oprisvolgy (kolozs megye) : 0 :  (hn+ar)
valea luncii (jud. cluj) : lunkatanya (kolozs megye) : 0 :  (hn+ar)
valea ungurasului (jud. cluj) : csabaujfalu (kolozs megye) : 0 :  (hn+ar)
valea vadului (jud. cluj) : vadpatak (kolozs megye) : 0 :  (hn+ar)
vechea (jud. cluj) : bodonkut (kolozs megye) : 0 :  (hn+ar)
visea (jud. cluj) : visa (kolozs megye) : 0 :  (hn+ar)
viisoara (jud. cluj) : aranyosegerbegy (kolozs megye) : 0 :  (hn+ar)
vistea (jud. cluj) : magyarvista (kolozs megye) : 0 :  (hn+ar)
vlaha (jud. cluj) : magyarfenes (kolozs megye) : 0 :  (hn+ar)
vultureni (jud. cluj) : borsaujfalu (kolozs megye) : 0 :  (hn+ar)
tetchea (jud. bihor) : cecke (bihar megye) : 0 :  (hn+ar)
tiganestii de cris (jud. bihor) : ciganyfalva (bihar megye) : 0 :  (hn+ar)
sauaieu (jud. bihor) : biharsalyi (bihar megye) : 0 :  (hn+ar)
serani (jud. bihor) : saran (bihar megye) : 0 :  (hn+ar)
serghis (jud. bihor) : serges (bihar megye) : 0 :  (hn+ar)
sisterea (jud. bihor) : siter (bihar megye) : 0 :  (hn+ar)
silindru (jud. bihor) : erselend (bihar megye) : 0 :  (hn+ar)
sinteu (jud. bihor) : solyomkovar (bihar megye) : 0 :  (hn+ar)
soimi (jud. bihor) : solyom (bihar megye) : 0 :  (hn+ar)
sustiu (jud. bihor) : susd (bihar megye) : 0 :  (hn+ar)
sustorogi (jud. bihor) : sitervolgy (bihar megye) : 0 :  (hn+ar)
sumugiu (jud. bihor) : varaduzsopa (bihar megye) : 0 :  (hn+ar)
suncuis (jud. bihor) : belenyessonkolyos (bihar megye) : 0 :  (hn+ar)
suncuius (jud. bihor) : varsonkolyos (bihar megye) : 0 :  (hn+ar)
baita-plai (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
baile 1 mai (jud. bihor) : puspokfurdo vagy majus 1. furdo (bihar megye) : 0 :  (hn+ar)
balc (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
bratesti (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
camp-moti (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
chesereu (jud. bihor) : erkeseru (bihar megye) : 0 :  (hn+ar)
codru (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
goila (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
iteu nou (jud. bihor) : ujluki vagy kisluki (bihar megye) : 0 :  (hn+ar)
lacu sarat (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
lazuri (jud. bihor) : lazurihegy (bihar megye) : 0 :  (hn+ar)
livada beiusului (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
munteni (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
ortiteag (jud. bihor) : urgeteg (bihar megye) : 0 :  (hn+ar)
pacalesti (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
pestis (jud. bihor) : solyomkopestes vagy korospestes (bihar megye) : 0 :  (hn+ar)
petrani (jud. bihor) : pontosko (bihar megye) : 0 :  (hn+ar)
racas (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
rohani (jud. bihor) : ??? (bihar megye) : 0 :  (hn+ar)
sacueni (jud. bihor) : szekelyhid (bihar megye) : 0 :  (hn+ar)
satu nou (jud. bihor) : kugypuszta vagy kugyipuszta (bihar megye) : 0 :  (hn+ar)
ursad (jud. bihor) : urszad (bihar megye) : 0 :  (hn+ar)
urvis de beius (jud. bihor) : belenyesorvenyes (bihar megye) : 0 :  (hn+ar)
urvind (jud. bihor) : orvend (bihar megye) : 0 :  (hn+ar)
vasad (jud. bihor) : ervasad (bihar megye) : 0 :  (hn+ar)
valani de pomezeu (jud. bihor) : papmezovalany (bihar megye) : 0 :  (hn+ar)
valanii de beius (jud. bihor) : belenyesvalany (bihar megye) : 0 :  (hn+ar)
varaseni (jud. bihor) : veresfalva (bihar megye) : 0 :  (hn+ar)
varzari (jud. bihor) : fuves (bihar megye) : 0 :  (hn+ar)
varzarii de jos (jud. bihor) : alsofuves (bihar megye) : 0 :  (hn+ar)
varzarii de sus (jud. bihor) : felsofuves (bihar megye) : 0 :  (hn+ar)
valcelele (jud. bihor) : blagaret (bihar megye) : 0 :  (hn+ar)
varciorog (jud. bihor) : vercsorog (bihar megye) : 0 :  (hn+ar)
vaida (jud. bihor) : biharvajda (bihar megye) : 0 :  (hn+ar)
valea cerului (jud. bihor) : cserpatak (bihar megye) : 0 :  (hn+ar)
valea de jos (jud. bihor) : alsofeketevolgy (bihar megye) : 0 :  (hn+ar)
valea de sus (jud. bihor) : felsofeketevolgy (bihar megye) : 0 :  (hn+ar)
valea mare de codru (jud. bihor) : alsopatak (bihar megye) : 0 :  (hn+ar)
valea tarnei (jud. bihor) : harmaspatak (bihar megye) : 0 :  (hn+ar)
varasau (jud. bihor) : varaszotanya (bihar megye) : 0 :  (hn+ar)
varviz (jud. bihor) : varviz (bihar megye) : 0 :  (hn+ar)
viisoara (jud. bihor) : erszollos (bihar megye) : 0 :  (hn+ar)
vintere (jud. bihor) : venter (bihar megye) : 0 :  (hn+ar)
